"species","latitude","longitude","source"
"Myotis myotis",47.400793,7.572808,"gbif"
"Myotis myotis",47.476547,7.533742,"gbif"
"Myotis myotis",46.6986,6.35995,"gbif"
"Myotis myotis",46.60865,6.36174,"gbif"
"Myotis myotis",46.83521,6.55384,"gbif"
"Myotis myotis",46.74417,6.42447,"gbif"
"Myotis myotis",47.37829,7.33931,"gbif"
"Myotis myotis",46.38177,6.17125,"gbif"
"Myotis myotis",47.42326,7.33923,"gbif"
"Myotis myotis",47.28759,7.00901,"gbif"
"Myotis myotis",46.97186,6.81442,"gbif"
"Myotis myotis",47.01605,6.68238,"gbif"
"Myotis myotis",46.97062,6.61731,"gbif"
"Myotis myotis",46.97149,6.74871,"gbif"
"Myotis myotis",46.806686,9.256911,"gbif"
"Myotis myotis",46.78971,6.4891,"gbif"
"Myotis myotis",47.0634,7.60318,"gbif"
"Myotis myotis",47.10743,6.94458,"gbif"
"Myotis myotis",47.367508,8.985614,"gbif"
"Myotis myotis",47.10845,7.33982,"gbif"
"Myotis myotis",47.28839,7.47167,"gbif"
"Myotis myotis",47.19832,7.27367,"gbif"
"Myotis myotis",46.973,7.07724,"gbif"
"Myotis myotis",46.92689,6.81494,"gbif"
"Myotis myotis",47.33278,7.07479,"gbif"
"Myotis myotis",47.33332,7.3394,"gbif"
"Myotis myotis",46.74473,6.48989,"gbif"
"Myotis myotis",47.2433,7.27353,"gbif"
"Myotis myotis",46.919323,7.547182,"gbif"
"Myotis myotis",46.61127,6.68805,"gbif"
"Myotis myotis",46.42674,6.1702,"gbif"
"Myotis myotis",47.10769,7.01045,"gbif"
"Myotis myotis",46.65479,6.49147,"gbif"
"Myotis myotis",46.79072,6.62006,"gbif"
"Myotis myotis",46.97353,7.34007,"gbif"
"Myotis myotis",46.88361,7.47143,"gbif"
"Myotis myotis",46.97357,7.47149,"gbif"
"Myotis myotis",47.24337,7.33957,"gbif"
"Myotis myotis",47.01854,7.40575,"gbif"
"Myotis myotis",46.29756,6.88707,"gbif"
"Myotis myotis",46.38248,6.23624,"gbif"
"Myotis myotis",46.88154,6.74987,"gbif"
"Myotis myotis",46.42745,6.23524,"gbif"
"Myotis myotis",46.34284,6.95155,"gbif"
"Myotis myotis",47.37795,7.14069,"gbif"
"Myotis myotis",47.42273,7.07418,"gbif"
"Myotis myotis",46.74865,7.53679,"gbif"
"Myotis myotis",46.61353,7.66708,"gbif"
"Myotis myotis",46.65531,6.55679,"gbif"
"Myotis myotis",46.69976,6.49068,"gbif"
"Myotis myotis",46.79366,7.40589,"gbif"
"Myotis myotis",47.4225,7.00792,"gbif"
"Myotis myotis",46.29786,6.95196,"gbif"
"Myotis myotis",46.74868,7.47135,"gbif"
"Myotis myotis",46.56708,6.8191,"gbif"
"Myotis myotis",47.10827,7.66919,"gbif"
"Myotis myotis",46.47373,6.36443,"gbif"
"Myotis myotis",46.92855,7.34015,"gbif"
"Myotis myotis",46.5187,6.36353,"gbif"
"Myotis myotis",46.8357,6.61937,"gbif"
"Myotis myotis",47.15324,7.20788,"gbif"
"Myotis myotis",46.97345,7.27436,"gbif"
"Myotis myotis",46.3422,6.82167,"gbif"
"Myotis myotis",46.51668,6.16809,"gbif"
"Myotis myotis",46.9261,6.68365,"gbif"
"Myotis myotis",46.56165,6.16703,"gbif"
"Myotis myotis",46.87965,6.48751,"gbif"
"Myotis myotis",47.15267,7.01009,"gbif"
"Myotis myotis",46.43279,6.95074,"gbif"
"Myotis myotis",46.92463,6.48671,"gbif"
"Myotis myotis",46.52357,7.66671,"gbif"
"Myotis myotis",47.37726,6.94208,"gbif"
"Myotis myotis",47.10713,6.87871,"gbif"
"Myotis myotis",47.01718,6.87965,"gbif"
"Myotis myotis",47.33298,7.14094,"gbif"
"Myotis myotis",47.37776,7.07449,"gbif"
"Myotis myotis",46.88358,7.53703,"gbif"
"Myotis myotis",47.1524,6.94417,"gbif"
"Myotis myotis",47.40921,7.06765,"gbif"
"Myotis myotis",46.25393,7.47106,"gbif"
"Myotis myotis",46.8386,7.53695,"gbif"
"Myotis myotis",46.97353,7.53719,"gbif"
"Myotis myotis",47.19806,7.1417,"gbif"
"Myotis myotis",46.756523,7.012604,"gbif"
"Myotis myotis",47.19738,6.94375,"gbif"
"Myotis myotis",46.25314,7.0172,"gbif"
"Myotis myotis",47.28816,7.20729,"gbif"
"Myotis myotis",46.51986,6.49384,"gbif"
"Myotis myotis",46.74846,7.66765,"gbif"
"Myotis myotis",46.88358,7.34024,"gbif"
"Myotis myotis",46.29812,7.01685,"gbif"
"Myotis myotis",46.51739,6.23324,"gbif"
"Myotis myotis",46.47309,6.29933,"gbif"
"Myotis myotis",46.92836,7.20885,"gbif"
"Myotis myotis",47.24303,7.14145,"gbif"
"Myotis myotis",46.38751,6.88615,"gbif"
"Myotis myotis",46.65299,6.29553,"gbif"
"Myotis myotis",46.79023,6.55458,"gbif"
"Myotis myotis",46.65362,6.36084,"gbif"
"Myotis myotis",46.74526,6.55532,"gbif"
"Myotis myotis",46.60801,6.29649,"gbif"
"Myotis myotis",46.8386,7.34032,"gbif"
"Myotis myotis",47.01816,7.1427,"gbif"
"Myotis myotis",46.79362,7.53687,"gbif"
"Myotis myotis",47.1521,6.87824,"gbif"
"Myotis myotis",46.34351,7.14639,"gbif"
"Myotis myotis",47.15324,7.66938,"gbif"
"Myotis myotis",46.74621,8.1911,"gbif"
"Myotis myotis",46.34254,6.88661,"gbif"
